C1,Eletrico,300,300,4,0.15,5,true,Estacao Central 1,L1,Estacao_Carregamento,45
C2,Eletrico,200,200,1,0.12,3,true,Estacao Central 1,L1,Estacao_Carregamento,25
C3,Eletrico,260,260,4,0.14,4,true,Estacao Central 1,L1,Estacao_Carregamento,30
C4,Eletrico,200,200,1,0.10,3,true,Estacao Central 1,L1,Estacao_Carregamento,25
C5,Eletrico,320,320,4,0.16,5,true,Estacao Central 1,L1,Estacao_Carregamento,50
C6,Combustao,700,700,8,0.5,10,true,Estacao Central 2,L1,Posto_Combustivel,10
C7,Combustao,450,450,4,0.22,8,true,Estacao Central 2,L1,Posto_Combustivel,5
C8,Combustao,300,300,8,0.3,12,true,Estacao Central 2,L1,Posto_Combustivel,5
C9,Combustao,500,500,4,0.25,9,true,Estacao Central 2,L1,Posto_Combustivel,5
C10,Combustao,750,750,8,0.6,11,true,Estacao Central 2,L1,Posto_Combustivel,10
